#-------------------------------------------
# Food Diary Report - Detailed Report,"Tuesday, June 1, 2021","Wednesday, June 30, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1794,72.94,196.78,86.55
Breakfast,406,17.02,41.98,20.98
Lunch,368,14.53,39.66,18.48
Dinner,450,18.12,46.54,24.45
Snacks/Other,570,23.27,68.59,22.65

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Tuesday, June 1, 2021",1335,44.24,10.121,150.59,9.5,5.29,84.18,1056,176,964
 Breakfast,110,2.61,0.973,8.76,1.5,1.74,12.65,227,28,302
"  Мясо Индейки (Вареное, Жареное)",60,1.74,0.574,0,0,0,10.26,24,27,104
   35 g
  Овощное Рагу,50,0.87,0.399,8.76,1.5,1.74,2.39,203,1,198
   90 g
 Lunch,386,13.32,1.76,52.4,5.5,1.69,16.01,505,25,245
  Овощное Рагу,38,0.66,0.301,6.62,1.2,1.31,1.8,154,1,150
   68 g
"  Мясо Индейки (Вареное, Жареное)",54,1.59,0.525,0,0,0,9.38,22,24,95
   32 g
  Мчади,144,5.43,0.458,22.45,2.1,0.19,2.37,161,0,
   51 g
  Мчади,150,5.64,0.476,23.33,2.2,0.19,2.46,168,0,
   53 g
 Dinner,158,7.43,0.886,4.75,0,0,17.25,38,41,161
"  Мясо Индейки (Вареное, Жареное)",92,2.68,0.886,0,0,0,15.83,38,41,161
   54 g
  Окей Рататуй,66,4.75,,4.75,,,1.42,,,
   95 g
 Snacks/Other,681,20.88,6.502,84.68,2.5,1.86,38.27,286,82,256
"  Мясо Индейки (Вареное, Жареное)",65,1.89,0.623,0,0,0,11.14,27,29,113
   38 g
  Мистраль Бурый Рис Отварной,39,0.25,,8.84,,,0.87,,,
   28 g
  Овсяное Печенье ПП,108,1.78,0.414,18.74,1.1,1.35,4.07,61,0,
   36 g
  Rainbow Рисовые Галеты,26,0.2,0,5.3,,0,0.6,,,
   1 порция
  Козий Сыр (Твердый),81,6.41,4.43,0.39,0,0.39,5.49,62,19,9
   18 g
  Окей Рататуй,63,4.6,,4.6,,,1.38,,,
   92 g
"  Мясо Индейки (Вареное, Жареное)",76,2.24,0.738,0,0,0,13.19,32,34,134
   45 g
  Мчади,93,3.51,0.297,14.53,1.4,0.12,1.53,104,0,
   33 g
  Ударница Мармелад,130,0,0,32.28,0,0,0,0,,
   40 g

"Wednesday, June 2, 2021",1747,71.12,19.462,181.46,6.53,4.74,89.7,1580,224,763
 Breakfast,232,9.93,1.24,14.47,1,0.08,20.84,117,48,188
  Окей Рататуй,60,4.35,,4.35,,,1.3,,,
   87 g
