#-------------------------------------------
# Food Diary Report - Detailed Report,"Thursday, July 1, 2021","Saturday, July 31, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1474,56.27,161.33,79.89
Breakfast,338,13.25,36.72,18.04
Lunch,355,13.88,36.83,21.15
Dinner,282,10.48,27.63,18.34
Snacks/Other,498,18.66,60.15,22.36

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Thursday, July 1, 2021",1572,54.14,18.468,172.97,10.2,30.89,94.16,2420,245,911
 Breakfast,111,4.52,0.717,3.79,1,1.66,13.47,173,32,125
  Куриное Филе,62,0.69,0.185,0,0,0,12.93,36,32,
   56 g
  Рататуй,49,3.83,0.532,3.79,1,1.66,0.54,137,0,125
   68 g
 Lunch,187,5.11,1.174,19.65,1.6,1.72,15.18,325,33,325
  Куриное Филе,62,0.69,0.185,0,0,0,12.93,36,32,
   56 g
  Картофельное Пюре,125,4.42,0.989,19.65,1.6,1.72,2.25,289,1,325
   125 g
 Dinner,133,6.21,0.951,5.47,1.5,2.39,13.7,233,32,180
  Рататуй,71,5.52,0.766,5.47,1.5,2.39,0.77,197,0,180
   98 g
  Куриное Филе,62,0.69,0.185,0,0,0,12.93,36,32,
   56 g
 Snacks/Other,1141,38.3,15.626,144.06,6.1,25.12,51.81,1689,148,281
  Картофельное Пюре,108,3.82,0.854,16.98,1.4,1.49,1.94,249,1,281
   108 g
  Куриное Филе,51,0.57,0.152,0,0,0,10.62,30,27,
   46 g
  Хачапури,511,19.44,8.41,60.67,2.1,2.84,21.84,809,69,
   172 g
  Сорбет,93,0.11,0,21.61,1.1,18.7,1.28,4,0,
   107 g
  Хачапури,378,14.36,6.21,44.8,1.5,2.09,16.13,597,51,
   127 g

"Friday, July 2, 2021",1691,61.67,21.707,180.2,10.1,33.29,101.22,2311,268,744
 Breakfast,445,15.83,6.772,47.97,1.6,2.24,25.81,663,76,
  Хачапури,404,15.37,6.65,47.97,1.6,2.24,17.27,639,55,
   136 g
  Куриное Филе,41,0.46,0.122,0,0,0,8.54,24,21,
   37 g
 Lunch,159,5.2,0.796,14.52,1.2,1.93,14.08,194,31,145
  Рататуй,57,4.45,0.618,4.41,1.2,1.93,0.62,159,0,145
   79 g
  Куриное Филе,59,0.67,0.178,0,0,0,12.47,35,31,
   54 g
  Мистраль Рис Басмати Отварной,43,0.08,,10.11,,,0.99,,,
   38 g
 Dinner,372,13.33,5.712,40.57,1.4,1.9,20.83,559,62,
  Хачапури,342,13,5.623,40.57,1.4,1.9,14.6,541,46,
   115 g
  Куриное Филе,30,0.33,0.089,0,0,0,6.23,18,16,
   27 g
 Snacks/Other,715,27.31,8.427,77.14,5.9,27.22,40.5,895,99,599
  Куриное Филе Жареное без Масла,85,0.98,0.257,0.16,0,0.05,17.54,108,44,
   77 g
  Картофель Фри,153,7.87,1.836,19.97,1.8,0.32,1.95,168,0,295
   56 g
  Сыр Сулугуни,45,3.53,2.065,0.04,0,0.04,3.25,37,12,
   16 g
  Рататуй,90,7.04,0.978,6.97,1.9,3.05,0.99,251,0,230
   125 g
  Куриное Филе,32,0.36,0.096,0,0,0,6.7,19,17,
   29 g
  Огурец (с Кожурой),8,0.06,0.017,1.82,0.2,0.84,0.32,1,0,74
   50 g
  Хачапури,193,7.35,3.178,22.93,0.8,1.07,8.25,306,26,
   65 g
  Сорбет,109,0.12,0,25.25,1.2,21.85,1.5,5,0,
   125 g

"Saturday, July 3, 2021",1245,42.06,10.9,150.75,3.6,49.14,73.44,1091,155,
 Breakfast,373,9.84,4.135,49.13,2,18.83,20.38,415,55,
  Хачапури,244,9.27,4.01,28.93,1,1.35,10.41,386,33,
   82 g
  Куриное Филе,42,0.47,0.125,0,0,0,8.77,25,22,
   38 g
  Сорбет,87,0.1,0,20.2,1,17.48,1.2,4,0,
   100 g
 Lunch,522,15.57,6.646,77.32,1.6,30.31,27.2,653,79,
  Хачапури,211,8.03,3.472,25.05,0.9,1.17,9.02,334,29,
   71 g
  Куриное Филе,47,0.53,0.142,0,0,0,9.93,28,25,
   43 g
  Красный Пищевик Зефир Ванильный без Сахара,80,0,,30.4,,28.12,0.38,,,
   38 g
  Хачапури,184,7.01,3.032,21.87,0.7,1.02,7.87,291,25,
   62 g
 Dinner,350,16.65,0.119,24.3,0,0,25.86,23,21,
  Деликатеска Пицца Три Сыра,310,16.2,,24.3,,,17.55,,,
   135 g
  Куриное Филе,40,0.45,0.119,0,0,0,8.31,23,21,
   36 g
 Snacks/Other,,,,,,,,,,

"Sunday, July 4, 2021",1525,66.14,26.008,149.96,10.5,34.56,84.65,2207,230,1088
 Breakfast,730,33.63,12.638,70.22,4.9,6.21,36.26,1405,79,420
  Картофельное Пюре,106,3.75,0.838,16.66,1.4,1.46,1.91,245,1,276
   106 g
  Рататуй,53,4.17,0.579,4.13,1.1,1.81,0.58,149,0,136
   74 g
  Куриное Филе,60,0.68,0.182,0,0,0,12.7,36,32,
   55 g
  Козий Сыр (Твердый),72,5.69,3.937,0.35,0,0.35,4.88,55,17,8
   16 g
  Пицца Домашняя,439,19.34,7.102,49.08,2.4,2.59,16.19,920,29,
   170 g
 Lunch,407,17.84,7.492,45.67,4.5,26.84,18.58,332,69,370
  Рататуй,75,5.86,0.813,5.8,1.6,2.54,0.82,209,0,191
   104 g
  Куриное Филе,54,0.61,0.162,0,0,0,11.31,32,28,
   49 g
  Ванильное Мороженое,181,9.9,6.111,21.24,0.6,19.1,3.15,72,40,179
   90 g
  Овсяное Печенье с Бананом,97,1.47,0.406,18.63,2.3,5.2,3.3,19,1,
   2 cookies
 Dinner,258,9.81,4.908,13.55,1.1,1.51,27.86,309,72,226
  Картофельное Пюре,84,2.97,0.664,13.2,1.1,1.16,1.51,194,1,218
   84 g
  Куриное Филе,102,1.15,0.307,0,0,0,21.47,60,54,
   93 g
  Козий Сыр (Твердый),72,5.69,3.937,0.35,0,0.35,4.88,55,17,8
   16 g
 Snacks/Other,130,4.86,0.97,20.52,,,1.95,161,10,72
  Овсяное Печенье (с Изюмом),130,4.86,0.97,20.52,,,1.95,161,10,72
   2 cookies (2-5/8" dia)

"Monday, July 5, 2021",1317,43.76,11.643,146.54,6.1,9.28,65.79,1501,148,564
 Breakfast,217,6.35,1.153,24.52,2.1,1.45,15.43,330,33,260
  Куриное Филе,60,0.68,0.182,0,0,0,12.7,36,32,
   55 g
  Картофельное Пюре,100,3.54,0.791,15.72,1.3,1.38,1.8,231,1,260
   100 g
  Мчади,57,2.13,0.18,8.8,0.8,0.07,0.93,63,0,
   20 g
 Lunch,825,32.11,9.452,76.52,2.8,3.66,39.13,989,91,117
  Куриное Филе,33,0.37,0.099,0,0,0,6.93,20,17,
   30 g
  Картофельное Пюре,45,1.59,0.356,7.07,0.6,0.62,0.81,104,0,117
   45 g
  Хачапури,547,20.8,8.997,64.91,2.2,3.04,23.36,865,74,
   184 g
  Фанагория Вино Красное Полусладкое,80,0,,3.5,,,0,,,
"   100мл, 100 ml"
  Окей Шашлык Куриный,120,9.35,,1.04,,,8.03,,,
   55 g
 Dinner,89,3.27,0.529,4.75,1,2.12,10.22,124,24,172
  Рататуй,35,2.7,0.375,2.68,0.7,1.17,0.38,96,0,88
   48 g
  Куриное Филе,45,0.51,0.135,0,0,0,9.47,27,24,
   41 g
  Огурец (с Кожурой),9,0.06,0.019,2.07,0.3,0.95,0.37,1,0,84
   57 g
 Snacks/Other,186,2.03,0.509,40.75,0.2,2.05,1.01,58,0,15
  Печенье к Чаю,66,2.03,0.509,10.89,0.2,2.05,1.01,58,0,15
   3 Arrowroot biscuits (include Arrowroot cookie)
  Ударница Мармелад,120,0,0,29.86,0,0,0,0,,
   37 g

"Tuesday, July 6, 2021",1543,71.65,12.058,158.41,4.3,6.32,65.43,1310,122,195
 Breakfast,403,20.77,4.352,32.59,1.1,1.47,20.5,418,36,
  Хачапури,265,10.06,4.352,31.39,1.1,1.47,11.3,418,36,
   89 g
  Окей Шашлык Куриный,138,10.71,,1.2,,,9.2,,,
   63 g
 Lunch,252,7.31,1.007,31.95,1.6,2.59,15.47,248,31,195
  Рататуй,76,5.97,0.829,5.91,1.6,2.59,0.84,213,0,195
   106 g
  Куриное Филе,59,0.67,0.178,0,0,0,12.47,35,31,
   54 g
  Мистраль Рис Басмати Отварной,42,0.07,,9.84,,,0.96,,,
   37 g
  Линия Рисовое Печенье ,75,0.6,,16.2,,,1.2,,,
   60 g
 Dinner,407,15.49,6.699,48.33,1.6,2.26,17.4,644,55,
  Хачапури,407,15.49,6.699,48.33,1.6,2.26,17.4,644,55,
   137 g
 Snacks/Other,481,28.08,,45.54,,,12.06,,,
  Брусника Пирожок со Шпинатом,481,28.08,,45.54,,,12.06,,,
   180 g

"Wednesday, July 7, 2021",1374,32.3,13.472,186.35,4,20.98,85.08,1045,194,324
 Breakfast,583,21.07,9.023,64.29,2.2,3,31.7,884,94,111
  Хачапури,541,20.57,8.899,64.2,2.2,3,23.11,856,73,
   182 g
  Куриное Филе,40,0.45,0.119,0,0,0,8.31,23,21,
   36 g
  Кофе,2,0.05,0.005,0.09,0,0,0.28,5,0,111
