#-------------------------------------------
# Food Diary Report - Detailed Report,"Monday, March 1, 2021","Wednesday, March 31, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1447,67.02,142.04,71.06
Breakfast,319,15.06,30.14,15.57
Lunch,297,12.43,31.59,13.45
Dinner,337,16.64,30.52,18.94
Snacks/Other,494,22.9,49.79,23.09

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Monday, March 1, 2021",1684,77.69,25.885,164.38,8.4,28.4,83.99,873.3,119,434
 Breakfast,197,8.36,3.295,16.42,1.1,9.31,14.11,244,24,242
  Куриное Филе,45,0.51,0.135,0,0,0,9.47,27,24,
   41 g
  Рататуй,51,4,0.555,3.96,1.1,1.73,0.56,143,0,131
   71 g
  Valio Lapimaa Juust,51,3.8,2.6,0.5,,0.5,3.8,64,,
   20 g
  Мармеладные Мишки,48,0,0,11.87,0,7.08,0,5,0,
   12 g
  Кофе,2,0.05,0.005,0.09,0,0,0.28,5,0,111
   1 mug (8 fl oz)
 Lunch,309,13.32,8.738,33.62,4.1,11.02,14.79,135.3,37,132
  Fazer Must Leib Madala Suhkrusisaldusega,110,0.75,0.1,22.7,3.7,2.1,3.4,0.3,,
   50 g
  Козий Сыр (Твердый),158,12.46,8.613,0.76,0,0.76,10.68,121,37,17
   35 g
  Огурец,9,0.06,0.02,2.11,0.3,0.96,0.39,2,0,
   58 g
  Кофе,2,0.05,0.005,0.09,0,0,0.28,5,0,111
   1 mug (8 fl oz)
  Мармелад,30,0,0,7.96,0.1,7.2,0.04,7,0,4
   12 g
 Dinner,346,19.28,12.152,21.81,3.2,8.07,22.39,494,58,60
  Куриное Филе,30,0.33,0.089,0,0,0,6.23,18,16,
   27 g
  Макароны из Цельной Пшеницы,52,0.23,0.041,11.08,1.2,0.34,2.23,98,0,18
   42 g
  Помидор Гриль,27,1.16,0.176,4.53,1.8,1.97,0.95,227,0,
   76 g
  Козий Сыр (Твердый),181,14.24,9.844,0.87,0,0.87,12.21,138,42,19
   40 g
  Зеленый Листовой Салат,2,0.02,0.002,0.33,0.2,0.09,0.16,3,0,23
   12 g
  Lindt Chili Dark Chocolate,54,3.3,2,5,,4.8,0.61,10,,
   10 g
 Snacks/Other,832,36.73,1.7,92.53,,,32.7,,,
  Пхали Хинкали Хинкали с Бараниной и Говядиной,153,2.55,,25.31,,,7.24,,,
   94 g
  Хачапури и Вино Хинкали с Сыром,567,28.14,,54.4,,,24.39,,,
   197 g
  Pergale Набор Конфет,61,3.24,,7.32,,,0.61,,,
   12 g
  Lindt Тёмный Шоколад с Карамелью и Морской Солью,51,2.8,1.7,5.5,,,0.46,,,
   10 g

"Tuesday, March 2, 2021",1564,59.81,6.585,189.74,5.58,46.98,72.66,962.2,64,563
 Breakfast,958,47.56,,91.96,,,41.22,,,
  Хачапури и Вино Хинкали с Сыром,958,47.56,,91.96,,,41.22,,,
   333 g
 Lunch,109,0.58,0.176,26.64,2.9,13.7,1.89,558,0,418
  Куриный Бульон,9,0.21,0.051,1.06,,,0.67,557,0,17
   171 g
  Банан,100,0.37,0.125,25.58,2.9,13.7,1.22,1,0,401
   112 g
 Dinner,280,4.92,3.041,46.61,0.8,27.25,14.77,192.4,20,87
  Куриное Филе,37,0.42,0.112,0,0,0,7.85,22,20,
   34 g
  Кабачок,7,0.08,0.016,1.54,,,0.48,0,0,73
   40 g
  Valio Lapimaa Juust,57,4.18,2.86,0.55,,0.55,4.18,70.4,,
   22 g
  Макароны из Цельной Пшеницы,33,0.15,0.027,7.12,0.8,0.22,1.43,63,0,12
   27 g
  Зефир,146,0.09,0.026,37.4,0,26.48,0.83,37,0,2
   46 g
 Snacks/Other,217,6.75,3.368,24.53,1.88,6.03,14.78,211.8,44,58
  Макароны из Цельной Пшеницы,57,0.25,0.045,12.13,1.3,0.37,2.44,108,0,20
   46 g
  Куриное Филе,37,0.42,0.112,0,0,0,7.85,22,20,
   34 g
  Жареные Креветки (Осыпанные Мукой или в Панировке),27,1.35,0.285,1.29,0.1,0.06,2.28,54,20,22
   1 medium (shelled)
  Козий Сыр (Твердый),18,1.42,0.984,0.09,0,0.09,1.22,14,4,2
   4 g
  Салат,1,0.01,0.002,0.3,0.1,0.18,0.09,1,0,14
   10 g
  Kupiec Rice Cakes With Belgian Milk Chocolate,77,3.3,1.94,10.72,0.38,5.33,0.9,12.8,,
   16 g

"Wednesday, March 3, 2021",1992,88.99,22.169,210.82,7.9,13.44,85.98,2742.6,86,131
 Breakfast,220,9.76,4.301,21.07,2.2,6.96,12.74,301.6,17,131
  Куриное Филе,32,0.36,0.096,0,0,0,6.7,19,17,
